code,region,authority,fye,maintenance_pct,year,local_authority_name,link_length_km,road_length_miles,cars_and_taxis,total_traffic,traffic_intensity,year_n,intensity_n,intensity_group,region_East of England,region_London,region_North East,region_North West,region_South East,region_South West,region_West Midlands,region_Yorkshire and the Humber
E06000047,North East,County Durham,FYE 2008,5.0,2008,Durham,3650,2268,1866200000.0,2412800000.0,1063844.7971781306,0.9916049382716049,0.3045394380069095,Low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E06000005,North East,Darlington,FYE 2008,6.0,2008,Darlington,542,337,386600000.0,488400000.0,1449258.1602373887,0.9916049382716049,0.41486903617551,Low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E08000037,North East,Gateshead,FYE 2008,4.0,2008,Gateshead,899,559,854200000.0,1059700000.0,1895706.618962433,0.9916049382716049,0.5426707259330908,Medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E06000001,North East,Hartlepool,FYE 2008,1.0,2008,Hartlepool,397,247,297200000.0,369300000.0,1495141.7004048582,0.9916049382716049,0.4280037975367849,Medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E06000002,North East,Middlesbrough,FYE 2008,4.0,2008,Middlesbrough,504,313,574700000.0,699300000.0,2234185.303514377,0.9916049382716049,0.6395646606914213,Medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E08000021,North East,Newcastle upon Tyne,FYE 2008,6.0,2008,Newcastle upon Tyne,964,599,899800000.0,1083600000.0,1809015.0250417362,0.9916049382716049,0.5178541273441224,Medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E08000022,North East,North Tyneside,FYE 2008,5.0,2008,North Tyneside,784,487,643100000.0,768100000.0,1577207.3921971254,0.9916049382716049,0.45149617135330183,Medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E06000057,North East,Northumberland,FYE 2008,5.0,2008,Northumberland,5265,3272,1298600000.0,1659100000.0,507059.902200489,0.9916049382716049,0.14515250538572624,Low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E06000003,North East,Redcar and Cleveland,FYE 2008,1.0,2008,Redcar and Cleveland,678,421,450400000.0,544700000.0,1293824.2280285035,0.9916049382716049,0.3703740473503947,Low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E08000023,North East,South Tyneside,FYE 2008,3.0,2008,South Tyneside,552,343,373800000.0,453700000.0,1322740.5247813412,0.9916049382716049,0.378651714154527,Low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E06000004,North East,Stockton-on-Tees,FYE 2008,2.0,2008,Stockton-on-Tees,814,506,657200000.0,816200000.0,1613043.4782608696,0.9916049382716049,0.46175471803150925,Medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E08000024,North East,Sunderland,FYE 2008,2.0,2008,Sunderland,1144,711,860500000.0,1060500000.0,1491561.1814345992,0.9916049382716049,0.42697882731756864,Medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E06000008,North West,Blackburn with Darwen,FYE 2008,4.0,2008,Blackburn with Darwen,547,340,355400000.0,434200000.0,1277058.8235294118,0.9916049382716049,0.36557473181333994,Low,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E06000009,North West,Blackpool,FYE 2008,7.0,2008,Blackpool,461,286,287900000.0,342000000.0,1195804.1958041957,0.9916049382716049,0.342314535656405,Low,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000001,North West,Bolton,FYE 2008,5.0,2008,Bolton,977,607,1011600000.0,1249900000.0,2059143.327841845,0.9916049382716049,0.5894566138782673,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000002,North West,Bury,FYE 2008,6.0,2008,Bury,687,427,790500000.0,1002200000.0,2347072.599531616,0.9916049382716049,0.6718801204073493,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E10000004,North West,Cheshire,FYE 2008,4.0,2008,Cheshire,5241,3257,4116500000.0,5191700000.0,1594012.8953024256,0.9916049382716049,0.4563069656389786,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E10000006,North West,Cumbria,FYE 2008,4.0,2008,Cumbria,8100,5033,2576900000.0,3427300000.0,680965.6268627062,0.9916049382716049,0.19493528553871137,Low,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E06000006,North West,Halton,FYE 2008,1.0,2008,Halton,572,355,495900000.0,613700000.0,1728732.3943661973,0.9916049382716049,0.49487217801044425,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000011,North West,Knowsley,FYE 2008,1.0,2008,Knowsley,579,360,667500000.0,835800000.0,2321666.6666666665,0.9916049382716049,0.6646073410157917,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E10000017,North West,Lancashire,FYE 2008,3.0,2008,Lancashire,6901,4288,5424400000.0,6770600000.0,1578964.552238806,0.9916049382716049,0.4519991813158462,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000012,North West,Liverpool,FYE 2008,10.0,2008,Liverpool,1436,892,1084000000.0,1332100000.0,1493385.6502242154,0.9916049382716049,0.4275011052864271,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000003,North West,Manchester,FYE 2008,6.0,2008,Manchester,1367,849,1361500000.0,1640700000.0,1932508.8339222614,0.9916049382716049,0.5532058395991108,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000004,North West,Oldham,FYE 2008,11.0,2008,Oldham,830,516,534800000.0,664100000.0,1287015.503875969,0.9916049382716049,0.3684249613253871,Low,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000005,North West,Rochdale,FYE 2008,10.0,2008,Rochdale,786,488,783600000.0,1012600000.0,2075000.0,0.9916049382716049,0.5939957929394549,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000006,North West,Salford,FYE 2008,6.0,2008,Salford,794,493,1138200000.0,1450600000.0,2942393.509127789,0.9916049382716049,0.84229848944302,High,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000014,North West,Sefton,FYE 2008,5.0,2008,Sefton,987,613,566100000.0,692700000.0,1130016.313213703,0.9916049382716049,0.32348189686838213,Low,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000013,North West,St. Helens,FYE 2008,8.0,2008,St. Helens,731,454,651300000.0,833000000.0,1834801.7621145374,0.9916049382716049,0.5252359169031006,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000007,North West,Stockport,FYE 2008,5.0,2008,Stockport,991,616,951000000.0,1151400000.0,1869155.844155844,0.9916049382716049,0.5350702206153093,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000008,North West,Tameside,FYE 2008,6.0,2008,Tameside,767,477,570300000.0,710800000.0,1490146.750524109,0.9916049382716049,0.4265739280355278,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E08000009,North West,Trafford,FYE 2008,9.0,2008,Trafford,806,501,751000000.0,921700000.0,1839720.5588822355,0.9916049382716049,0.526643986583263,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E06000007,North West,Warrington,FYE 2008,5.0,2008,Warrington,978,608,1253200000.0,1611900000.0,2651151.3157894737,0.9916049382716049,0.7589266159155892,High,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
